items,item_count,support
Age=30-44 + BMI=Overweight,2,0.08571895959430721
BMI=Obese + Diabetes=Prediabetes,2,0.08522820219204973
BMI=Obese + Cholesterol=Normal,2,0.08457385898903975
Diabetes=Yes + Smoking=Ever,2,0.08359234418452478
Activity=SedentaryHigh + Cholesterol=Normal,2,0.08162931457549484
Age=45-59 + BMI=Overweight,2,0.08162931457549484
Activity=Active + Age=60+,2,0.08146572877474235
Alcohol=Regular + Diet=SodiumHigh + Diet=SugarHigh,3,0.43595615900539836
Alcohol=Regular + Diet=SodiumHigh + Rx=Antihypertensive,3,0.4171437919188614
Diet=SodiumHigh + Diet=SugarHigh + Rx=Antihypertensive,3,0.4068378864714543
Alcohol=Regular + Diabetes=No + Diet=SodiumHigh,3,0.3875347619826599
Diabetes=No + Diet=SodiumHigh + Diet=SugarHigh,3,0.3816456731555701
Alcohol=Regular + Cholesterol=High + Diet=SodiumHigh,3,0.35579911663667596
Alcohol=Regular + Diet=SugarHigh + Rx=Antihypertensive,3,0.35579911663667596
Diabetes=No + Diet=SodiumHigh + Rx=Antihypertensive,3,0.35530835923441845
Cholesterol=High + Diet=SodiumHigh + Diet=SugarHigh,3,0.3456567969900213
Alcohol=Regular + Diabetes=No + Diet=SugarHigh,3,0.34516603958776376
Cholesterol=High + Diet=SodiumHigh + Risk=High,3,0.338622607557664
Alcohol=Regular + Diet=SodiumHigh + Sex=Male,3,0.33731392115164405
Cholesterol=High + Diet=SodiumHigh + Rx=Antihypertensive,3,0.3353508915426141
Diabetes=No + Hypertension=No + Risk=NotHigh,3,0.33404220513659416
Alcohol=Regular + Diabetes=No + Rx=Antihypertensive,3,0.33355144773433665
Diabetes=No + Diet=SodiumHigh + Risk=NotHigh,3,0.3252085718959594
Diet=SodiumHigh + Diet=SugarHigh + Smoking=Never,3,0.3229183706854245
Diabetes=No + Diet=SodiumHigh + Hypertension=No,3,0.32160968427940456
Diet=SodiumHigh + Rx=Antihypertensive + Smoking=Never,3,0.3204645836741371
Alcohol=Regular + Cholesterol=High + Rx=Antihypertensive,3,0.31948306886962213
Cholesterol=High + Hypertension=Yes + Risk=High,3,0.31948306886962213
Alcohol=Regular + Cholesterol=High + Risk=High,3,0.31882872566661213
Alcohol=Regular + Diet=SodiumHigh + Risk=High,3,0.3137575658432848
Alcohol=Regular + Diabetes=No + Risk=NotHigh,3,0.3127760510387698
Diabetes=No + Diet=SugarHigh + Rx=Antihypertensive,3,0.31261246523801733
Cholesterol=High + Risk=High + Rx=Antihypertensive,3,0.31015867822672993
Alcohol=Regular + Cholesterol=High + Diet=SugarHigh,3,0.3083592344184525
Diet=SodiumHigh + Diet=SugarHigh + Hypertension=No,3,0.3081956486177
Diet=SodiumHigh + Rx=Antihypertensive + Sex=Male,3,0.3077048912154425
Diabetes=No + Risk=NotHigh + Rx=Antihypertensive,3,0.3057418616064126
Diet=SodiumHigh + Diet=SugarHigh + Sex=Male,3,0.3042695893996401
Alcohol=Regular + Diet=SodiumHigh + Hypertension=No,3,0.30394241779813513
Diabetes=No + Diet=SodiumHigh + Smoking=Never,3,0.3034516603958776
Diet=SodiumHigh + Hypertension=Yes + Risk=High,3,0.30067070178308525
Alcohol=Regular + Rx=Antihypertensive + Sex=Male,3,0.2996891869785703
Hypertension=Yes + Risk=High + Rx=Antihypertensive,3,0.2990348437755603
Diabetes=No + Diet=SugarHigh + Risk=NotHigh,3,0.2983805005725503
Diet=SodiumHigh + Diet=SugarHigh + Risk=High,3,0.2972353999672828
Diet=SodiumHigh + Risk=High + Rx=Antihypertensive,3,0.2964174709635204
Diabetes=No + Risk=NotHigh + Smoking=Never,3,0.2952723703582529
Alcohol=Regular + Diabetes=No + Hypertension=No,3,0.2947816129559954
Alcohol=Regular + Diet=SodiumHigh + Smoking=Ever,3,0.29445444135449045
Diet=SodiumHigh + Hypertension=No + Risk=NotHigh,3,0.292327825944708
Cholesterol=High + Diet=SugarHigh + Rx=Antihypertensive,3,0.2890561099296581
Alcohol=Regular + Diet=SodiumHigh + Smoking=Never,3,0.2879110093243906
Alcohol=Regular + Diet=FiberLow + Diet=SodiumHigh,3,0.2870930803206282
Cholesterol=High + Diet=SugarHigh + Risk=High,3,0.2870930803206282
Diabetes=No + Diet=SugarHigh + Hypertension=No,3,0.28447570750858825
Alcohol=Regular + Hypertension=Yes + Risk=High,3,0.28382136430557825
Alcohol=Regular + Diet=FiberLow + Rx=Antihypertensive,3,0.2823490920988058
Alcohol=Regular + Diet=SugarHigh + Sex=Male,3,0.28185833469654836
Diet=SodiumHigh + Hypertension=Yes + Rx=Antihypertensive,3,0.28136757729429085
Diabetes=No + Rx=Antihypertensive + Smoking=Never,3,0.2792409618845084
Alcohol=Regular + Diet=SodiumHigh + Hypertension=Yes,3,0.27842303288074594
Alcohol=Regular + Risk=High + Rx=Antihypertensive,3,0.277114346474726
Diet=SugarHigh + Rx=Antihypertensive + Smoking=Never,3,0.2769507606739735
Cholesterol=High + Hypertension=Yes + Rx=Antihypertensive,3,0.276787174873221
Alcohol=Regular + Hypertension=Yes + Rx=Antihypertensive,3,0.275478488467201
Diet=SodiumHigh + Hypertension=No + Rx=Antihypertensive,3,0.27498773106494356
Diet=FiberLow + Diet=SodiumHigh + Diet=SugarHigh,3,0.2748241452641911
Diabetes=No + Hypertension=No + Rx=Antihypertensive,3,0.2738426304596761
Diet=SodiumHigh + Diet=SugarHigh + Risk=NotHigh,3,0.27269752985440865
Diet=FiberLow + Diet=SodiumHigh + Rx=Antihypertensive,3,0.27040732864387373
Alcohol=Regular + Diet=SugarHigh + Hypertension=No,3,0.2692622280386062
Alcohol=Regular + Diet=SodiumHigh + Risk=NotHigh,3,0.2686078848355963
Alcohol=Regular + Hypertension=No + Risk=NotHigh,3,0.2682807132340913
Diabetes=No + Diet=SugarHigh + Smoking=Never,3,0.2674627842303288
Cholesterol=High + Diet=SodiumHigh + Hypertension=Yes,3,0.26582692622280385
Diet=SodiumHigh + Diet=SugarHigh + Sex=Female,3,0.26566334042205136
Hypertension=No + Risk=NotHigh + Rx=Antihypertensive,3,0.2645182398167839
Alcohol=Regular + Diabetes=No + Diet=FiberLow,3,0.26255521020775396
Cholesterol=High + Diabetes=No + Diet=SodiumHigh,3,0.2623916244070015
Hypertension=No + Risk=NotHigh + Smoking=Never,3,0.2623916244070015
Alcohol=Regular + Rx=Antihypertensive + Smoking=Ever,3,0.26190086700474396
Diet=SodiumHigh + Diet=SugarHigh + Hypertension=Yes,3,0.2617372812039915
Cholesterol=High + Diet=FiberLow + Risk=High,3,0.26108293800098153
Diabetes=No + Diet=SodiumHigh + Sex=Male,3,0.26108293800098153
Alcohol=Regular + Diet=FiberLow + Diet=SugarHigh,3,0.2607557663994765
Alcohol=Regular + Rx=Antihypertensive + Smoking=Never,3,0.26010142319646656
Diet=SodiumHigh + Risk=NotHigh + Rx=Antihypertensive,3,0.2599378373957141
Alcohol=Regular + Diet=SugarHigh + Risk=High,3,0.25961066579420905
Diet=SugarHigh + Hypertension=No + Risk=NotHigh,3,0.25944707999345656
Alcohol=Regular + Cholesterol=High + Hypertension=Yes,3,0.2584655651889416
Alcohol=Regular + Cholesterol=High + Diabetes=No,3,0.2578112219859316
Alcohol=Regular + Diet=SugarHigh + Smoking=Ever,3,0.2578112219859316
Diabetes=No + Hypertension=No + Smoking=Never,3,0.2576476361851791
Diet=SugarHigh + Rx=Antihypertensive + Sex=Male,3,0.2574840503844266
Cholesterol=Normal + Diabetes=No + Risk=NotHigh,3,0.25715687878292165
Alcohol=Regular + Diabetes=No + Smoking=Never,3,0.25666612138066414
Diet=SodiumHigh + Hypertension=No + Smoking=Never,3,0.2558481923769017
Cholesterol=High + Diet=SodiumHigh + Smoking=Never,3,0.2555210207753967
Alcohol=Regular + Diabetes=No + Sex=Male,3,0.2512677899558318
Cholesterol=High + Diet=SodiumHigh + Sex=Male,3,0.25044986095206934
Diet=SodiumHigh + Risk=NotHigh + Smoking=Never,3,0.25012268935056436
Alcohol=Regular + Cholesterol=High + Sex=Male,3,0.2486504171437919
Diet=SodiumHigh + Rx=Antihypertensive + Sex=Female,3,0.2486504171437919
Alcohol=Regular + Cholesterol=High + Smoking=Ever,3,0.24815965974153442
Alcohol=Regular + Diet=SugarHigh + Smoking=Never,3,0.24815965974153442
Diabetes=No + Diet=FiberLow + Diet=SodiumHigh,3,0.24701455913626696
Diet=SodiumHigh + Diet=SugarHigh + Smoking=Ever,3,0.24701455913626696
Alcohol=Regular + Hypertension=No + Rx=Antihypertensive,3,0.24652380173400948
Alcohol=Regular + Diet=SugarHigh + Risk=NotHigh,3,0.246360215933257
Cholesterol=High + Rx=Antihypertensive + Smoking=Never,3,0.24521511532798954
Alcohol=Regular + Diet=SodiumHigh + Sex=Female,3,0.24505152952723702
Alcohol=Regular + Risk=NotHigh + Rx=Antihypertensive,3,0.24488794372648454
Diet=SugarHigh + Hypertension=Yes + Risk=High,3,0.24488794372648454
Risk=NotHigh + Rx=Antihypertensive + Smoking=Never,3,0.24456077212497956
Alcohol=Regular + Risk=High + Smoking=Ever,3,0.24423360052347456
Diet=SodiumHigh + Sex=Female + Smoking=Never,3,0.24390642892196956
Diet=SugarHigh + Hypertension=No + Rx=Antihypertensive,3,0.24145264191068216
Diabetes=No + Diet=FiberLow + Rx=Antihypertensive,3,0.24128905610992965
BMI=Obese + Cholesterol=High + Risk=High,3,0.24063471290691968
